Longitude,Latitude
-73.3667,40.7677
-73.4670,40.7965
-73.5045,40.7733
-73.6100,40.6754
-73.6210,40.7425
-73.6289,40.7133
-73.6304,40.7410
-73.6307,41.0205
-73.6662,40.6655
-73.6829,40.7605
-73.6850,40.7351
-73.6947,40.7878
-73.6974,40.7111
-73.6981,40.7308
-73.6989,40.7014
-73.7040,41.0689
-73.7048,40.6395
-73.7049,40.7693
-73.7084,40.7690
-73.7141,40.7253
-73.7160,40.7307
-73.7160,40.7311
-73.7162,40.6133
-73.7179,40.7475
-73.7182,40.7473
-73.7196,40.6616
-73.7234,40.6363
-73.7255,40.6948
-73.7265,40.6549
-73.7278,40.7034
-73.7284,40.6695
-73.7309,40.7151
-73.7321,40.7161
-73.7327,40.6899
-73.7333,40.6888
-73.7334,40.6869
-73.7339,40.6741
-73.7342,40.7098
-73.7356,40.7212
-73.7358,40.6151
-73.7359,40.6973
-73.7370,40.7910
-73.7373,40.7878
-73.7376,40.6868
-73.7385,40.6016
-73.7391,40.6829
-73.7396,40.7187
-73.7400,40.7232
-73.7403,40.6645
-73.7416,40.7020
-73.7432,40.7525
-73.7436,40.7778
-73.7447,40.6642
-73.7461,40.7317
-73.7463,40.7358
-73.7466,40.6730
-73.7496,40.7241
-73.7500,40.7511
-73.7506,40.6238
-73.7517,40.7204
-73.7524,40.7190
-73.7524,40.7287
-73.7540,40.7391
-73.7546,40.6860
-73.7588,40.7632
-73.7591,40.7298
-73.7606,41.0297
-73.7616,40.7360
-73.7621,40.6895
-73.7644,40.7342
-73.7650,40.7228
-73.7659,40.7486
-73.7667,40.6511
-73.7686,40.6998
-73.7706,40.6617
-73.7714,40.7645
-73.7719,40.7219
-73.7739,40.7654
-73.7739,40.7689
-73.7741,40.7633
-73.7743,40.6115
-73.7750,40.7845
-73.7751,40.7373
-73.7754,40.7824
-73.7754,40.7848
-73.7755,40.7135
-73.7760,40.6765
-73.7762,40.6457
-73.7763,40.6454
-73.7763,40.6455
-73.7763,40.6456
-73.7763,40.6457
-73.7763,40.6458
-73.7763,40.6460
-73.7764,40.6451
-73.7764,40.6452
-73.7764,40.6453
-73.7764,40.6454
-73.7764,40.6455
-73.7764,40.6456
-73.7764,40.6457
-73.7764,40.6458
-73.7764,40.6460
-73.7764,40.6461
-73.7764,40.6462
-73.7765,40.6450
-73.7765,40.6451
-73.7765,40.6452
-73.7765,40.6461
-73.7765,40.6463
-73.7765,40.6464
-73.7766,40.6449
-73.7766,40.6450
-73.7766,40.6458
-73.7767,40.6448
-73.7767,40.6449
-73.7768,40.6451
-73.7770,40.6446
-73.7771,40.6447
-73.7773,40.6446
-73.7774,40.6447
-73.7775,40.6447
-73.7775,40.7747
-73.7776,40.6447
-73.7777,40.6448
-73.7778,40.6448
-73.7779,40.6448
-73.7780,40.6448
-73.7780,40.6449
-73.7782,40.6450
-73.7786,40.6450
-73.7788,40.6451
-73.7789,40.6451
-73.7791,40.6452
-73.7793,40.6451
-73.7795,40.7607
-73.7796,40.6452
-73.7796,40.6453
-73.7796,40.7106
-73.7798,40.6455
-73.7798,40.6942
-73.7802,40.6460
-73.7803,40.6593
-73.7805,40.6464
-73.7805,40.7186
-73.7807,40.6464
-73.7807,40.6475
-73.7807,40.7382
-73.7807,40.9038
-73.7810,40.7786
-73.7811,40.6451
-73.7812,40.7600
-73.7813,40.6468
-73.7814,40.6478
-73.7814,40.6683
-73.7815,40.6469
-73.7815,40.6481
-73.7816,40.6445
-73.7816,40.6475
-73.7816,40.6484
-73.7816,41.0543
-73.7817,40.6445
-73.7817,40.6485
-73.7818,40.6444
-73.7818,40.6471
-73.7818,40.6485
-73.7819,40.6443
-73.7819,40.6444
-73.7820,40.6443
-73.7820,40.6444
-73.7820,40.6487
-73.7820,40.7051
-73.7821,40.6443
-73.7821,40.6468
-73.7821,40.6487
-73.7821,40.6488
-73.7822,40.6442
-73.7822,40.6443
-73.7822,40.6468
-73.7822,40.6487
-73.7822,40.7054
-73.7822,40.7462
-73.7822,40.7795
-73.7823,40.6442
-73.7823,40.6443
-73.7823,40.6468
-73.7823,40.6487
-73.7823,40.6488
-73.7824,40.6441
-73.7824,40.6442
-73.7824,40.6443
-73.7824,40.6486
-73.7824,40.6487
-73.7824,40.6488
-73.7825,40.6440
-73.7825,40.6442
-73.7825,40.6487
-73.7825,40.6488
-73.7825,40.7367
-73.7826,40.6441
-73.7826,40.6442
-73.7826,40.6466
-73.7826,40.6488
-73.7827,40.6440
-73.7827,40.6441
-73.7827,40.6443
-73.7827,40.6466
-73.7827,40.6488
-73.7828,40.6440
-73.7828,40.6441
-73.7828,40.6466
-73.7828,40.6487
-73.7828,40.6488
-73.7828,40.6489
-73.7829,40.6439
-73.7829,40.6440
-73.7829,40.6489
-73.7830,40.6439
-73.7830,40.6464
-73.7830,40.6488
-73.7830,40.6489
-73.7831,40.6439
-73.7831,40.6464
-73.7831,40.6466
-73.7831,40.6489
-73.7832,40.6438
-73.7832,40.6464
-73.7833,40.6438
-73.7833,40.6439
-73.7834,40.6437
-73.7834,40.6438
-73.7834,40.6463
-73.7834,40.7375
-73.7835,40.6437
-73.7835,40.6462
-73.7836,40.6436
-73.7836,40.6465
-73.7837,40.6436
-73.7837,40.6437
-73.7838,40.6436
-73.7838,40.6441
-73.7838,40.6489
-73.7839,40.6435
-73.7840,40.6436
-73.7840,40.7160
-73.7841,40.6658
-73.7841,40.6659
-73.7843,40.6658
-73.7843,40.7412
-73.7845,40.6433
-73.7846,40.6434
-73.7847,40.6458
-73.7847,40.6663
-73.7849,40.6654
-73.7849,40.6657
-73.7850,40.7351
-73.7851,40.6431
-73.7852,40.6432
-73.7852,40.7410
-73.7854,40.7177
-73.7854,40.7381
-73.7854,40.7425
-73.7855,40.6454
-73.7858,40.6486
-73.7858,40.7122
-73.7859,40.6386
-73.7859,40.6388
-73.7859,40.6435
-73.7859,40.6510
-73.7859,40.7197
-73.7860,40.6386
-73.7860,40.6494
-73.7861,40.6390
-73.7862,40.6438
-73.7864,40.6401
-73.7864,40.6404
-73.7864,40.6451
-73.7865,40.6390
-73.7865,40.6391
-73.7865,40.6392
-73.7865,40.6393
-73.7865,40.6526
-73.7865,40.6527
-73.7866,40.6445
-73.7866,40.6446
-73.7867,40.6445
-73.7867,40.7524
-73.7868,40.6401
-73.7868,40.6408
-73.7868,40.6880
-73.7869,40.6450
-73.7869,40.6677
-73.7870,40.6445
-73.7870,40.6474
-73.7870,40.6476
-73.7871,40.6410
-73.7871,40.6475
-73.7872,40.6475
-73.7873,40.6411
-73.7873,40.6412
-73.7873,40.6465
-73.7873,40.6475
-73.7874,40.6413
-73.7874,40.6418
