,Day,TripCount
0,2015-01-01,382014
1,2015-01-10,515540
2,2015-01-11,419629
3,2015-01-12,396367
4,2015-01-13,448517
5,2015-01-14,442656
6,2015-01-15,451186
7,2015-01-16,478124
8,2015-01-17,476827
9,2015-01-18,427042
10,2015-01-19,342795
11,2015-01-02,345296
12,2015-01-20,405581
13,2015-01-21,431486
14,2015-01-22,452108
15,2015-01-23,472440
16,2015-01-24,460505
17,2015-01-25,407579
18,2015-01-26,230255
19,2015-01-27,135500
20,2015-01-28,380192
21,2015-01-29,431985
22,2015-01-03,406769
23,2015-01-30,483380
24,2015-01-31,520067
25,2015-01-04,328848
26,2015-01-05,363454
27,2015-01-06,384324
28,2015-01-07,429653
29,2015-01-08,450920
30,2015-01-09,447947
31,2015-02-01,423113
32,2015-02-10,424564
33,2015-02-11,447258
34,2015-02-12,463682
35,2015-02-13,486241
36,2015-02-14,501397
37,2015-02-15,459094
38,2015-02-16,412835
39,2015-02-17,394363
40,2015-02-18,436607
41,2015-02-19,477678
42,2015-02-02,336849
43,2015-02-20,498957
44,2015-02-21,455297
45,2015-02-22,399059
46,2015-02-23,431831
47,2015-02-24,448513
48,2015-02-25,444233
49,2015-02-26,471732
50,2015-02-27,487022
51,2015-02-28,499637
52,2015-02-03,421128
53,2015-02-04,415624
54,2015-02-05,459717
55,2015-02-06,476995
56,2015-02-07,485504
57,2015-02-08,410477
58,2015-02-09,381114
59,2015-03-01,385267
60,2015-03-10,413949
61,2015-03-11,428366
62,2015-03-12,461719
63,2015-03-13,476936
64,2015-03-14,496525
65,2015-03-15,418778
66,2015-03-16,374820
67,2015-03-17,413376
68,2015-03-18,452981
69,2015-03-19,451904
70,2015-03-02,388548
71,2015-03-20,458225
72,2015-03-21,468108
73,2015-03-22,429016
74,2015-03-23,390353
75,2015-03-24,412152
76,2015-03-25,427026
77,2015-03-26,427632
78,2015-03-27,465493
79,2015-03-28,510351
80,2015-03-29,424267
81,2015-03-03,397691
82,2015-03-30,391004
83,2015-03-31,429914
84,2015-03-04,435759
85,2015-03-05,366435
86,2015-03-06,446842
87,2015-03-07,504246
88,2015-03-08,411917
89,2015-03-09,392009
90,2015-04-01,440246
91,2015-04-10,468077
92,2015-04-11,473730
93,2015-04-12,407342
94,2015-04-13,377158
95,2015-04-14,411892
96,2015-04-15,427092
97,2015-04-16,452157
98,2015-04-17,469283
99,2015-04-18,500928
100,2015-04-19,445785
101,2015-04-02,444300
102,2015-04-20,397259
103,2015-04-21,426137
104,2015-04-22,432491
105,2015-04-23,463486
106,2015-04-24,474068
107,2015-04-25,489474
108,2015-04-26,424608
109,2015-04-27,393526
110,2015-04-28,411771
111,2015-04-29,427507
112,2015-04-03,444077
113,2015-04-30,446132
114,2015-04-04,440170
115,2015-04-05,377462
116,2015-04-06,375754
117,2015-04-07,425909
118,2015-04-08,443492
119,2015-04-09,460476
120,2015-05-01,461547
121,2015-05-10,405427
122,2015-05-11,395280
123,2015-05-12,424512
124,2015-05-13,439371
125,2015-05-14,439936
126,2015-05-15,457541
127,2015-05-16,479580
128,2015-05-17,423198
129,2015-05-18,403641
130,2015-05-19,432943
131,2015-05-02,507619
132,2015-05-20,441232
133,2015-05-21,446819
134,2015-05-22,419629
135,2015-05-23,383363
136,2015-05-24,336652
137,2015-05-25,301706
138,2015-05-26,387134
139,2015-05-27,415919
140,2015-05-28,432112
141,2015-05-29,441299
142,2015-05-03,434789
143,2015-05-30,451080
144,2015-05-31,368019
145,2015-05-04,390266
146,2015-05-05,432452
147,2015-05-06,444948
148,2015-05-07,442222
149,2015-05-08,449009
150,2015-05-09,469017
151,2015-06-01,400833
152,2015-06-10,424356
153,2015-06-11,439869
154,2015-06-12,443026
155,2015-06-13,428004
156,2015-06-14,382037
157,2015-06-15,374858
158,2015-06-16,400518
159,2015-06-17,425743
160,2015-06-18,429386
161,2015-06-19,436303
162,2015-06-02,419994
163,2015-06-20,413866
164,2015-06-21,366158
165,2015-06-22,374849
166,2015-06-23,406139
167,2015-06-24,411370
168,2015-06-25,419739
169,2015-06-26,425774
170,2015-06-27,445861
171,2015-06-28,348433
172,2015-06-29,359808
173,2015-06-03,425776
174,2015-06-30,374240
175,2015-06-04,444543
176,2015-06-05,451185
177,2015-06-06,449804
178,2015-06-07,402188
179,2015-06-08,391087
180,2015-06-09,409188
