Longitude,Latitude
-73.6304,40.7410
-73.7763,40.6456
-73.7764,40.6452
-73.7765,40.6461
-73.7766,40.6452
-73.7766,40.6453
-73.7766,40.6454
-73.7767,40.6450
-73.7767,40.6451
-73.7767,40.6452
-73.7767,40.6453
-73.7767,40.6454
-73.7767,40.6455
-73.7767,40.6457
-73.7768,40.6449
-73.7768,40.6450
-73.7768,40.6451
-73.7768,40.6452
-73.7768,40.6453
-73.7768,40.6454
-73.7768,40.6455
-73.7768,40.6456
-73.7768,40.6457
-73.7768,40.6458
-73.7768,40.6459
-73.7768,40.6461
-73.7769,40.6450
-73.7769,40.6452
-73.7769,40.6453
-73.7769,40.6454
-73.7769,40.6458
-73.7769,40.6460
-73.7769,40.6461
-73.7770,40.6449
-73.7770,40.6450
-73.7770,40.6452
-73.7770,40.6463
-73.7771,40.6449
-73.7771,40.6463
-73.7771,40.6464
-73.7771,40.6465
-73.7772,40.6450
-73.7774,40.6448
-73.7774,40.6466
-73.7775,40.6466
-73.7776,40.6467
-73.7777,40.6468
-73.7778,40.6469
-73.7779,40.6468
-73.7780,40.6467
-73.7782,40.6468
-73.7783,40.6468
-73.7785,40.6468
-73.7786,40.6467
-73.7787,40.6467
-73.7788,40.6467
-73.7793,40.6468
-73.7796,40.6469
-73.7798,40.6470
-73.7800,40.6471
-73.7802,40.6458
-73.7804,40.6453
-73.7805,40.6455
-73.7805,40.6461
-73.7805,40.6462
-73.7806,40.6453
-73.7807,40.6452
-73.7807,40.6463
-73.7808,40.6476
-73.7810,40.6450
-73.7810,40.6451
-73.7811,40.6450
-73.7811,40.6451
-73.7812,40.6447
-73.7812,40.6449
-73.7812,40.6450
-73.7813,40.6446
-73.7813,40.6449
-73.7813,40.6450
-73.7813,40.6675
-73.7814,40.6449
-73.7814,40.6450
-73.7814,40.6467
-73.7815,40.6449
-73.7815,40.6451
-73.7815,40.6468
-73.7816,40.6448
-73.7816,40.6449
-73.7816,40.6450
-73.7817,40.6447
-73.7817,40.6448
-73.7818,40.6446
-73.7818,40.6447
-73.7818,40.6448
-73.7818,40.6449
-73.7818,40.6468
-73.7819,40.6444
-73.7819,40.6446
-73.7819,40.6447
-73.7819,40.6448
-73.7819,40.6449
-73.7819,40.6457
-73.7820,40.6446
-73.7820,40.6447
-73.7820,40.6448
-73.7820,40.6450
-73.7821,40.6444
-73.7821,40.6446
-73.7821,40.6447
-73.7821,40.6448
-73.7821,40.6472
-73.7822,40.6444
-73.7822,40.6445
-73.7822,40.6446
-73.7822,40.6447
-73.7822,40.6448
-73.7823,40.6443
-73.7823,40.6445
-73.7823,40.6446
-73.7823,40.6447
-73.7823,40.6449
-73.7824,40.6444
-73.7824,40.6445
-73.7824,40.6446
-73.7824,40.6447
-73.7824,40.6449
-73.7824,40.6450
-73.7824,40.6468
-73.7824,40.6469
-73.7825,40.6445
-73.7825,40.6446
-73.7825,40.6447
-73.7825,40.6448
-73.7826,40.6444
-73.7826,40.6445
-73.7826,40.6446
-73.7826,40.6449
-73.7827,40.6444
-73.7827,40.6445
-73.7828,40.6443
-73.7828,40.6444
-73.7828,40.6445
-73.7828,40.6446
-73.7829,40.6444
-73.7829,40.6445
-73.7829,40.6467
-73.7830,40.6444
-73.7830,40.6484
-73.7831,40.6442
-73.7831,40.6465
-73.7831,40.6486
-73.7832,40.6442
-73.7832,40.6443
-73.7832,40.6466
-73.7832,40.6486
-73.7832,40.6487
-73.7833,40.6441
-73.7833,40.6486
-73.7833,40.6487
-73.7833,40.6489
-73.7834,40.6441
-73.7834,40.6465
-73.7834,40.6486
-73.7834,40.6487
-73.7835,40.6466
-73.7835,40.6486
-73.7835,40.6487
-73.7835,40.6488
-73.7836,40.6486
-73.7836,40.6487
-73.7837,40.6485
-73.7837,40.6486
-73.7837,40.6487
-73.7837,40.6488
-73.7837,40.6489
-73.7838,40.6486
-73.7838,40.6487
-73.7839,40.6463
-73.7839,40.6486
-73.7839,40.6487
-73.7840,40.6463
-73.7840,40.6487
-73.7841,40.6486
-73.7841,40.6487
-73.7842,40.6486
-73.7843,40.6485
-73.7843,40.6486
-73.7844,40.6461
-73.7844,40.6486
-73.7845,40.6486
-73.7845,40.6487
-73.7846,40.6486
-73.7847,40.6461
-73.7847,40.6486
-73.7848,40.6459
-73.7848,40.6486
-73.7849,40.6458
-73.7849,40.6485
-73.7849,40.6486
-73.7850,40.6486
-73.7851,40.6485
-73.7851,40.6486
-73.7852,40.6458
-73.7852,40.6485
-73.7852,40.6487
-73.7854,40.6483
-73.7854,40.6484
-73.7854,40.6495
-73.7854,40.7177
-73.7855,40.6456
-73.7855,40.6461
-73.7855,40.6483
-73.7855,40.6491
-73.7856,40.6459
-73.7856,40.6463
-73.7856,40.6498
-73.7856,40.6509
-73.7857,40.6458
-73.7857,40.6511
-73.7858,40.6457
-73.7858,40.6466
-73.7858,40.6485
-73.7859,40.6438
-73.7859,40.6454
-73.7859,40.6456
-73.7860,40.6415
-73.7860,40.6416
-73.7860,40.6417
-73.7860,40.6418
-73.7860,40.6474
-73.7860,40.6475
-73.7860,40.6512
-73.7861,40.6470
-73.7861,40.6472
-73.7861,40.6479
-73.7862,40.6402
-73.7862,40.6429
-73.7862,40.6437
-73.7863,40.6413
-73.7863,40.6445
-73.7864,40.6413
-73.7864,40.6522
-73.7864,40.6527
-73.7865,40.6387
-73.7865,40.6407
-73.7865,40.6412
-73.7865,40.6523
-73.7866,40.6412
-73.7866,40.6414
-73.7866,40.6415
-73.7866,40.6421
-73.7866,40.6443
-73.7866,40.6445
-73.7866,40.6446
-73.7866,40.6449
-73.7867,40.6413
-73.7867,40.6418
-73.7867,40.6420
-73.7867,40.6442
-73.7867,40.6444
-73.7867,40.6445
-73.7867,40.6446
-73.7867,40.6469
-73.7868,40.6406
-73.7868,40.6416
-73.7868,40.6445
-73.7869,40.6412
-73.7869,40.6443
-73.7869,40.6444
-73.7869,40.6445
-73.7869,40.6451
-73.7870,40.6411
-73.7870,40.6440
-73.7870,40.6441
-73.7870,40.6443
-73.7870,40.6444
-73.7870,40.6451
-73.7870,40.6464
-73.7871,40.6414
-73.7871,40.6416
-73.7871,40.6439
-73.7871,40.6441
-73.7871,40.6442
-73.7872,40.6409
-73.7872,40.6440
-73.7872,40.6442
-73.7873,40.6438
-73.7874,40.6417
-73.7874,40.6648
-73.7875,40.6416
-73.7876,40.6416
-73.7878,40.6415
-73.7878,40.6450
-73.7879,40.6415
-73.7879,40.6416
-73.7879,40.6417
-73.7880,40.6415
-73.7880,40.6416
-73.7880,40.6417
-73.7881,40.6413
-73.7881,40.6414
-73.7881,40.6415
-73.7881,40.6417
-73.7881,40.6419
-73.7881,40.6453
-73.7881,40.6475
-73.7882,40.6409
-73.7882,40.6411
-73.7882,40.6414
-73.7882,40.6415
-73.7882,40.6417
-73.7882,40.6418
-73.7882,40.6423
-73.7882,40.6475
-73.7883,40.6414
-73.7883,40.6415
-73.7883,40.6419
-73.7883,40.6544
-73.7884,40.6413
-73.7885,40.6420
-73.7885,40.6474
-73.7886,40.6414
-73.7886,40.6420
-73.7886,40.6422
-73.7887,40.6413
-73.7887,40.6414
-73.7887,40.6420
-73.7887,40.6421
-73.7887,40.6473
-73.7887,40.6631
-73.7888,40.6402
-73.7888,40.6413
-73.7888,40.6421
-73.7888,40.6423
-73.7888,40.6426
-73.7888,40.6474
-73.7889,40.6419
-73.7889,40.6452
-73.7889,40.6472
-73.7889,40.6473
-73.7889,40.6474
-73.7889,40.6548
-73.7890,40.6415
-73.7890,40.6419
-73.7890,40.6421
-73.7890,40.6422
-73.7890,40.6430
-73.7890,40.6470
-73.7890,40.6472
-73.7890,40.6473
-73.7890,40.6474
-73.7891,40.6409
-73.7891,40.6415
-73.7891,40.6418
-73.7891,40.6423
-73.7891,40.6435
-73.7891,40.6470
-73.7891,40.6472
-73.7891,40.6473
-73.7892,40.6418
-73.7892,40.6419
-73.7892,40.6423
-73.7892,40.6434
-73.7892,40.6450
-73.7892,40.6452
-73.7892,40.6465
-73.7892,40.6466
-73.7892,40.6468
-73.7892,40.6469
-73.7892,40.6471
-73.7892,40.6472
-73.7892,40.6474
-73.7893,40.6427
-73.7893,40.6431
-73.7893,40.6437
-73.7893,40.6449
-73.7893,40.6452
-73.7893,40.6466
-73.7893,40.6470
-73.7893,40.6472
-73.7893,40.6473
-73.7893,40.6475
-73.7894,40.6424
-73.7894,40.6427
-73.7894,40.6468
-73.7894,40.6470
-73.7894,40.6471
-73.7894,40.6472
-73.7894,40.6476
-73.7894,40.6549
-73.7895,40.6435
-73.7895,40.6438
-73.7895,40.6466
-73.7895,40.6468
-73.7895,40.6469
-73.7895,40.6470
-73.7895,40.6472
-73.7896,40.6432
-73.7896,40.6437
-73.7896,40.6438
-73.7896,40.6464
-73.7896,40.6469
-73.7896,40.6470
-73.7896,40.6471
-73.7896,40.6472
-73.7896,40.6476
-73.7896,40.6551
-73.7897,40.6427
-73.7897,40.6430
-73.7897,40.6436
-73.7897,40.6438
-73.7897,40.6440
-73.7897,40.6464
-73.7897,40.6467
-73.7897,40.6468
-73.7897,40.6469
-73.7897,40.6470
-73.7897,40.6471
-73.7897,40.6472
-73.7897,40.6479
-73.7898,40.6432
-73.7898,40.6435
-73.7898,40.6437
-73.7898,40.6438
-73.7898,40.6458
-73.7898,40.6468
-73.7898,40.6469
-73.7898,40.6470
-73.7898,40.6471
-73.7899,40.6436
-73.7899,40.6438
-73.7899,40.6439
-73.7899,40.6441
-73.7899,40.6447
-73.7899,40.6449
