address,business_name,category,n_reviews,price_category,rating,searched_zip
"220 W 30th StNew York, NY 10001",Tianti Books,",Coffee & Tea,Bookstores",28,1,5,10001
"225 W 35th StNew York, NY 10018",Best Bagel and Coffee,",Bagels,Coffee & Tea,Breakfast & Brunch",1010,1,4.5,10001
"387 8th AveNew York, NY 10001",Juicology,",Salad,Juice Bars & Smoothies,Sandwiches",62,1,4.5,10001
"220 W 31st StNew York, NY 10001",Soup Spot,",Soup",226,1,4.5,10001
"413 8th AveNew York, NY 10001",NY Pizza Suprema,",Pizza",965,1,4,10001
"275 7th AveNew York, NY 10001",Seven Grams Caffe,",Coffee & Tea,Bakeries",234,1,4.5,10001
"51 W 29th StNew York, NY 10001",New York Bakery,",Bakeries,Korean,Mexican",75,1,4.5,10001
"286 8th AveNew York, NY 10001",Brooklyn Bagel & Coffee Company,",Bagels,Breakfast & Brunch,Cafes",794,1,4,10001
"493A 9th AveNew York, NY 10018",Jonny’s Panini,",Coffee & Tea,Sandwiches,Italian",88,1,4.5,10001
"265 W 37th StNew York, NY 10018",Ramini Espresso Bar & Cafe,",Coffee & Tea,Cafes",117,1,4.5,10001
"148 W 28th StNew York, NY 10001",A Little Taste,",Cafes",63,1,4.5,10001
"320 8th AveNew York, NY 10001",Bean & Bean,",Coffee & Tea,Organic Stores",76,1,4.5,10001
"2 Penn PlzNew York, NY 10121",Krispy Kreme Doughnuts,",Donuts,Coffee & Tea",157,1,4,10001
"124 W 25th StNew York, NY 10001",Johny’s Luncheonette,",American (Traditional),Diners,Breakfast & Brunch",589,1,4,10001
"165 W 26th StNew York, NY 10001",B&B Restaurant Corp,",African",77,1,4.5,10001
"374 Eighth AveNew York, NY 10001",Am & Al Deli,",Sandwiches,Delis",30,1,4,10001
"336 W 37th StNew York, NY 10018",Madman Espresso,",Coffee & Tea",40,1,4.5,10001
"273 W 38th StNew York, NY 10018",Go! Go! Curry!,",Japanese",1095,1,4,10001
"121 W 29thNew York, NY 10001",Luna 29 Cafe,",Cafes",61,1,4.5,10001
"1 Penn PlzNew York, NY 10119",Rosa’s Pizza and Pasta,",Pizza,Italian",150,1,4,10001
"163B W 29th StNew York, NY 10001",B & D Halal Restaurant,",African,Halal",35,1,4,10001
"65 W 37th StNew York, NY 10018",The Picnic Basket,",Cafes,Sandwiches,Breakfast & Brunch",284,1,4,10001
"332 9th AveNew York, NY 10001",Billymark’s West,",Dive Bars",121,1,4,10001
"12 W 32nd StNew York, NY 10001",Woorijip Authentic Korean Food,",Korean",1956,1,4,10001
"1000 Avenue of the AmericasNew York, NY 10018",Chick-fil-A,",Fast Food",318,1,4,10001
"59 W 30th StNew York, NY 10001",Madman Espresso,",Coffee & Tea",19,1,4.5,10001
